ppm,kHz,-30,100,160
519.1611058,207.7371249,67.38354492,111.5361328,-78.21484375
518.970448,207.6608351,12.69726563,70.36816406,-54.83984375
518.7797903,207.5845453,-27.34667969,78.3527832,-41.41015625
518.5891325,207.5082555,-12.96020508,162.9020996,-30.08203125
518.3984747,207.4319657,-8.324707031,201.5200195,19.49609375
518.207817,207.3556759,-50.22387695,121.3586426,78.4765625
518.0171592,207.2793861,-80.6652832,30.73120117,75.8671875
517.8265014,207.2030963,-47.63916016,46.51660156,5.609375
517.6358437,207.1268065,10.11157227,93.02587891,-66.5625
517.4451859,207.0505167,30.53540039,20.60107422,-89.85546875
517.2545281,206.9742269,19.16357422,-132.1564941,-59.6640625
517.0638704,206.8979371,18.65991211,-167.0146484,18.79296875
516.8732126,206.8216473,35.60522461,-20.109375,124.40625
516.6825548,206.7453575,51.75,137.6376953,184.5585938
516.491897,206.6690677,67.37890625,146.6469727,128.6289063
516.3012393,206.5927779,78.88793945,64.04003906,-4.203125
516.1105815,206.5164881,53.88989258,35.49243164,-83.45703125
515.9199237,206.4401983,-8.560791016,74.13134766,-46.2578125
515.729266,206.3639085,-33.60009766,84.34228516,25.14453125
515.5386082,206.2876187,33.01171875,37.5847168,26.8515625
515.3479504,206.2113289,114.0239258,-0.470458984,-25.74609375
515.1572927,206.1350391,84.8840332,6.774658203,-43.13671875
514.9666349,206.0587493,-40.4206543,26.46313477,-4.71875
514.7759771,205.9824595,-118.137207,38.52099609,24.8046875
514.5853194,205.9061697,-84.6262207,64.70458984,11.5859375
514.3946616,205.8298799,-37.76464844,101.5166016,3.62109375
